inout_travelling,operator,network_type,rating,calldrop_category,latitude,longitude,state_name,month,year
Outdoor,jio,4G,3,Poor Voice Quality,22.08961462,88.13591861,West Bengal,1,2017
Outdoor,jio,4G,1,Call Dropped,13.02564683,77.70019757,Karnataka,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,28.59493239,77.33353157,Uttar Pradesh,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,3,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,2,Poor Voice Quality,17.4332494,78.3522546,Telangana,1,2017
Outdoor,jio,4G,3,Poor Voice Quality,17.40064029,78.38840665,Telangana,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,23.6764824,85.36707983,Jharkhand,1,2017
Outdoor,jio,4G,2,Call Dropped,25.71769984,75.35384936,Rajasthan,1,2017
Outdoor,jio,4G,3,Satisfactory,25.2887033,79.2394571,Madhya Pradesh,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,23.0505885,72.5201939,Gujarat,1,2017
Outdoor,jio,4G,4,Satisfactory,21.62117597,73.0025096,Gujarat,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,21.14798291,79.12781117,Maharashtra,1,2017
Outdoor,jio,4G,3,Call Dropped,22.50107011,88.31692504,West Bengal,1,2017
Outdoor,jio,4G,4,Satisfactory,25.6356806,85.0952466,Bihar,1,2017
Outdoor,jio,4G,5,Satisfactory,10.7289619,79.02147446,Tamil Nadu,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,23.8160857,87.9616902,West Bengal,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,17.41357,78.36639333,Telangana,1,2017
Outdoor,jio,4G,5,Satisfactory,17.41357,78.36639333,Telangana,1,2017
Outdoor,jio,4G,5,Satisfactory,14.91272758,79.98643213,Andhra Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,26.1495883,91.6528435,Assam,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,10.36760695,76.15897129,Kerala,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,22.53847333,88.29120167,West Bengal,1,2017
Outdoor,jio,4G,3,Poor Voice Quality,20.7167159,86.6807809,Odisha,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,20.00607832,73.70874201,Maharashtra,1,2017
Outdoor,jio,4G,5,Satisfactory,17.4300225,78.4208454,Telangana,1,2017
Outdoor,jio,4G,5,Satisfactory,19.04345703,72.86629523,Maharashtra,1,2017
Outdoor,jio,4G,5,Satisfactory,20.76710639,72.97158041,Gujarat,1,2017
Outdoor,jio,4G,4,Satisfactory,28.11561103,76.60865254,Haryana,1,2017
Outdoor,jio,4G,4,Satisfactory,12.96310106,77.71911709,Karnataka,1,2017
Outdoor,jio,4G,2,Call Dropped,12.89913813,80.13754239,Tamil Nadu,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,13.12890462,77.60478614,Karnataka,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,28.62033936,77.42522876,Uttar Pradesh,1,2017
Outdoor,jio,4G,4,Satisfactory,26.1747787,91.7358139,Assam,1,2017
Outdoor,jio,4G,4,Satisfactory,22.5659603,88.3539567,West Bengal,1,2017
Outdoor,jio,4G,3,Satisfactory,18.59449833,73.76097,Maharashtra,1,2017
Outdoor,jio,4G,1,Call Dropped,23.07244592,72.55106241,Gujarat,1,2017
Outdoor,jio,4G,1,Call Dropped,28.73597093,77.18311693,NCT,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,1,Call Dropped,18.58421833,73.73448333,Maharashtra,1,2017
Outdoor,jio,4G,5,Satisfactory,23.21717939,77.40385102,Madhya Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,12.977295,77.59918,Karnataka,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,28.55648163,77.18642067,NCT,1,2017
Outdoor,jio,4G,5,Satisfactory,21.1064532,79.06736284,Maharashtra,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,-1,-1,NA,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,18.6650239,78.1136618,Telangana,1,2017
Outdoor,jio,4G,3,Call Dropped,28.47997644,77.12562744,Haryana,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,10.7966437,78.6812341,Tamil Nadu,1,2017
Outdoor,jio,4G,5,Satisfactory,10.826544,78.6821868,Tamil Nadu,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,11.34114578,76.79235595,Tamil Nadu,1,2017
Outdoor,jio,4G,3,Satisfactory,18.331938,84.064808,Andhra Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,17.45457998,78.43387062,Telangana,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,24.416825,75.83015,Madhya Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,22.6162542,88.3472418,West Bengal,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,22.35119115,87.31343995,West Bengal,1,2017
Outdoor,jio,4G,5,Satisfactory,18.65673431,73.79241333,Maharashtra,1,2017
Outdoor,jio,4G,1,Call Dropped,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,28.70951333,77.25670833,Uttar Pradesh,1,2017
Outdoor,jio,4G,4,Satisfactory,11.0507059,77.014394,Tamil Nadu,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,1,Call Dropped,28.6664562,77.2045053,NCT,1,2017
Outdoor,jio,4G,3,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,18.65673431,73.79241333,Maharashtra,1,2017
Outdoor,jio,4G,5,Satisfactory,28.61618153,77.38746456,Uttar Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,17.36214174,78.46994942,Telangana,1,2017
Outdoor,jio,4G,5,Satisfactory,19.0637835,73.0790261,Maharashtra,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,1,Call Dropped,26.3586693,92.6952079,Assam,1,2017
Outdoor,jio,4G,5,Satisfactory,26.35033719,92.69679269,Assam,1,2017
Outdoor,jio,4G,5,Satisfactory,22.60256946,80.36776838,Madhya Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,17.04363105,76.99269989,Karnataka,1,2017
Outdoor,jio,4G,4,Satisfactory,22.6015141,75.6827694,Madhya Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,26.8705835,80.9024717,Uttar Pradesh,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,28.61992461,77.42553476,Uttar Pradesh,1,2017
Outdoor,jio,4G,3,Poor Voice Quality,21.46551138,72.99476313,Gujarat,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,18.23663667,73.28611667,Maharashtra,1,2017
Outdoor,jio,4G,3,Call Dropped,26.1740984,91.7348716,Assam,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,14.41540502,77.70958909,Andhra Pradesh,1,2017
Outdoor,jio,4G,2,Call Dropped,-1,-1,NA,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,29.07329265,75.15233062,Rajasthan,1,2017
Outdoor,jio,4G,5,Satisfactory,23.19203652,72.62975503,Gujarat,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,12.975312,77.768274,Karnataka,1,2017
Outdoor,jio,4G,5,Satisfactory,28.45172539,77.0042169,Haryana,1,2017
Outdoor,jio,4G,3,Poor Voice Quality,15.91767898,75.4723046,Karnataka,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,3,Satisfactory,28.5709393,77.1660973,NCT,1,2017
Outdoor,jio,4G,3,Call Dropped,22.21188112,84.86219679,Odisha,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,-1,-1,NA,1,2017
Outdoor,jio,4G,3,Poor Voice Quality,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,9.8801165,76.2625869,Kerala,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,3,Call Dropped,28.0284163,73.2888828,Rajasthan,1,2017
Outdoor,jio,4G,5,Satisfactory,28.83863333,77.12666167,NCT,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,19.05603633,72.83241928,Maharashtra,1,2017
Outdoor,jio,4G,4,Satisfactory,19.185886,72.990264,Maharashtra,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,16.06561492,80.55161384,Andhra Pradesh,1,2017
Outdoor,jio,4G,2,Call Dropped,25.6000931,85.19127505,Bihar,1,2017
Outdoor,jio,4G,1,Call Dropped,-1,-1,NA,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,25.35544074,82.97795768,Uttar Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,18.65761459,73.79311581,Maharashtra,1,2017
Outdoor,jio,4G,4,Satisfactory,19.0652668,72.8478513,Maharashtra,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,3,Call Dropped,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,2,Poor Voice Quality,22.646774,88.3653638,West Bengal,1,2017
Outdoor,jio,4G,5,Satisfactory,28.4571346,77.00457233,Haryana,1,2017
Outdoor,jio,4G,5,Satisfactory,23.1622583,79.9974714,Madhya Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,23.1736653,79.9421794,Madhya Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,23.1742129,79.9449771,Madhya Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,23.1736653,79.9421794,Madhya Pradesh,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,26.78828339,83.40396926,Uttar Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,28.47057513,77.03381372,Haryana,1,2017
Outdoor,jio,4G,5,Satisfactory,26.78828339,83.40396926,Uttar Pradesh,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,18.49992757,73.94587339,Maharashtra,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,29.10190619,75.16717039,Rajasthan,1,2017
Outdoor,jio,4G,5,Satisfactory,16.7728588,80.285931,Andhra Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,23.73492256,86.82247278,West Bengal,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,1,Call Dropped,17.41798845,78.54081921,Telangana,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,2,Call Dropped,17.40371151,78.45268716,Telangana,1,2017
Outdoor,jio,4G,1,Call Dropped,-1,-1,NA,1,2017
Outdoor,jio,4G,1,Call Dropped,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,25.59754454,85.10502724,Bihar,1,2017
Outdoor,jio,4G,5,Satisfactory,28.4541679,77.01400006,Haryana,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,28.54620599,77.18860207,NCT,1,2017
Outdoor,jio,4G,3,Satisfactory,21.36769099,80.38100746,Maharashtra,1,2017
Outdoor,jio,4G,3,Call Dropped,26.8545202,75.7667758,Rajasthan,1,2017
Outdoor,jio,4G,3,Satisfactory,19.06971167,72.99969,Maharashtra,1,2017
Outdoor,jio,4G,2,Poor Voice Quality,25.61324946,75.26888666,Rajasthan,1,2017
Outdoor,jio,4G,4,Satisfactory,28.65176,77.22054333,NCT,1,2017
Outdoor,jio,4G,1,Call Dropped,22.58452572,88.42534934,West Bengal,1,2017
Outdoor,jio,4G,5,Satisfactory,28.40163893,76.43167045,Haryana,1,2017
Outdoor,jio,4G,3,Satisfactory,23.8625295,91.2961763,Tripura,1,2017
Outdoor,jio,4G,4,Satisfactory,23.2293345,72.5073952,Gujarat,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,3,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,12.86342363,74.8463815,Karnataka,1,2017
Outdoor,jio,4G,5,Satisfactory,13.04985705,79.96220081,Tamil Nadu,1,2017
Outdoor,jio,4G,5,Satisfactory,22.3529452,82.7270847,Chhattisgarh,1,2017
Outdoor,jio,4G,5,Satisfactory,28.61667953,77.38725364,Uttar Pradesh,1,2017
Outdoor,jio,4G,4,Satisfactory,27.207825,78.014105,Uttar Pradesh,1,2017
Outdoor,jio,4G,3,Call Dropped,-1,-1,NA,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,21.02642333,75.89729333,Maharashtra,1,2017
Outdoor,jio,4G,2,Poor Voice Quality,21.026425,75.89702667,Maharashtra,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,22.47020482,88.40272944,West Bengal,1,2017
Outdoor,jio,4G,2,Poor Voice Quality,24.88744922,74.63595411,Rajasthan,1,2017
Outdoor,jio,4G,5,Satisfactory,12.97253433,79.16004924,Tamil Nadu,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,22.44574632,88.43643801,West Bengal,1,2017
Outdoor,jio,4G,4,Satisfactory,26.50860252,80.23303495,Uttar Pradesh,1,2017
Outdoor,jio,4G,4,Satisfactory,19.2225394,73.0857201,Maharashtra,1,2017
Outdoor,jio,4G,3,Call Dropped,18.59747748,73.91690396,Maharashtra,1,2017
Outdoor,jio,4G,2,Call Dropped,-1,-1,NA,1,2017
Outdoor,jio,4G,2,Poor Voice Quality,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,3,Call Dropped,13.02894739,77.53631903,Karnataka,1,2017
Outdoor,jio,4G,4,Satisfactory,17.43522833,78.443905,Telangana,1,2017
Outdoor,jio,4G,5,Satisfactory,22.49452727,88.37849959,West Bengal,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,28.5461195,77.18866238,NCT,1,2017
Outdoor,jio,4G,5,Satisfactory,26.78827325,83.40406019,Uttar Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,26.78827325,83.40406019,Uttar Pradesh,1,2017
Outdoor,jio,4G,1,Call Dropped,27.37535695,79.58965939,Uttar Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,26.1043161,83.1895171,Uttar Pradesh,1,2017
Outdoor,jio,4G,3,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,28.6841591,77.1272651,NCT,1,2017
Outdoor,jio,4G,2,Poor Voice Quality,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,26.51265755,80.23527688,Uttar Pradesh,1,2017
Outdoor,jio,4G,2,Poor Voice Quality,22.5134798,88.3207567,West Bengal,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,27.37535695,79.58965939,Uttar Pradesh,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,19.1680611,72.933469,Maharashtra,1,2017
Outdoor,jio,4G,5,Satisfactory,26.78827325,83.40406019,Uttar Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,26.7301734,80.8945817,Uttar Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,26.7303277,80.8946634,Uttar Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,26.72827421,80.89823112,Uttar Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,26.72874631,80.89826445,Uttar Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,24.81173432,77.86583841,Madhya Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,18.4474532,79.1235743,Telangana,1,2017
Outdoor,jio,4G,4,Satisfactory,12.98295406,80.16688897,Tamil Nadu,1,2017
Outdoor,jio,4G,5,Satisfactory,17.7449953,83.3312808,Andhra Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,3,Satisfactory,13.00643333,77.57894333,Karnataka,1,2017
Outdoor,jio,4G,4,Satisfactory,22.371726,87.4032413,West Bengal,1,2017
Outdoor,jio,4G,3,Call Dropped,-1,-1,NA,1,2017
Outdoor,jio,4G,2,Call Dropped,22.34774,87.3017685,West Bengal,1,2017
Outdoor,jio,4G,5,Satisfactory,13.03862211,80.25462889,Tamil Nadu,1,2017
Outdoor,jio,4G,5,Satisfactory,14.81794591,78.67981169,Andhra Pradesh,1,2017
Outdoor,jio,4G,3,Poor Voice Quality,21.6573217,82.152155,Chhattisgarh,1,2017
Outdoor,jio,4G,1,Call Dropped,-1,-1,NA,1,2017
Outdoor,jio,4G,2,Poor Voice Quality,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,28.6841591,77.1272651,NCT,1,2017
Outdoor,jio,4G,5,Satisfactory,17.36220692,78.47002417,Telangana,1,2017
